Epoch [1][910/1780], lr: 0.00000e+00, loss: 2.3603e-06
Epoch [1][915/1780], lr: 0.00000e+00, loss: 0.16884
Epoch [1][920/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][925/1780], lr: 0.00000e+00, loss: 0.0001608
Epoch [1][930/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][935/1780], lr: 0.00000e+00, loss: 7.224e-06
Epoch [1][940/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][945/1780], lr: 0.00000e+00, loss: 1.1921e-06
Epoch [1][950/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][955/1780], lr: 0.00000e+00, loss: 7.9869e-06
Epoch [1][960/1780], lr: 0.00000e+00, loss: 8.7975e-06
Epoch [1][965/1780], lr: 0.00000e+00, loss: 1.1611e-05
Epoch [1][970/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][975/1780], lr: 0.00000e+00, loss: 8.8928e-06
Epoch [1][980/1780], lr: 0.00000e+00, loss: 0.0042034
Epoch [1][985/1780], lr: 0.00000e+00, loss: 1.7166e-06
Epoch [1][990/1780], lr: 0.00000e+00, loss: 1.471e-05
Epoch [1][995/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1000/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1005/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1010/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][1015/1780], lr: 0.00000e+00, loss: 2.5511e-06
Epoch [1][1020/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][1025/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1030/1780], lr: 0.00000e+00, loss: 3.8147e-06
Epoch [1][1035/1780], lr: 0.00000e+00, loss: 6.5802e-06
Epoch [1][1040/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1045/1780], lr: 0.00000e+00, loss: 6.8425e-06
Epoch [1][1050/1780], lr: 0.00000e+00, loss: 1.0162
Epoch [1][1055/1780], lr: 0.00000e+00, loss: 1.1682e-06
Epoch [1][1060/1780], lr: 0.00000e+00, loss: 1.359e-06
Epoch [1][1065/1780], lr: 0.00000e+00, loss: 1.4782e-06
Epoch [1][1070/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1075/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1080/1780], lr: 0.00000e+00, loss: 0.038122
Epoch [1][1085/1780], lr: 0.00000e+00, loss: 0.031421
Epoch [1][1090/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1095/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1100/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1105/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1110/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1115/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1120/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1125/1780], lr: 0.00000e+00, loss: 0.041467
Epoch [1][1130/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1135/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1140/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1145/1780], lr: 0.00000e+00, loss: 1.4067e-06
Epoch [1][1150/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][1155/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1160/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1165/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1170/1780], lr: 0.00000e+00, loss: 1.2875e-06
Epoch [1][1175/1780], lr: 0.00000e+00, loss: 0.26976
Epoch [1][1180/1780], lr: 0.00000e+00, loss: 0.0013836
Epoch [1][1185/1780], lr: 0.00000e+00, loss: 0.0088409
Epoch [1][1190/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1195/1780], lr: 0.00000e+00, loss: 8.3446e-07
Epoch [1][1200/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1205/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1210/1780], lr: 0.00000e+00, loss: 0.071347
Epoch [1][1215/1780], lr: 0.00000e+00, loss: 1.4544e-06
Epoch [1][1220/1780], lr: 0.00000e+00, loss: 1.2517e-05
Epoch [1][1225/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1230/1780], lr: 0.00000e+00, loss: 1.7404e-06
Epoch [1][1235/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1240/1780], lr: 0.00000e+00, loss: 1.3828e-06
Epoch [1][1245/1780], lr: 0.00000e+00, loss: 1.0967e-06
Epoch [1][1250/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1255/1780], lr: 0.00000e+00, loss: 2.3365e-06
Epoch [1][1260/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][1265/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1270/1780], lr: 0.00000e+00, loss: 7.391e-07
Epoch [1][1275/1780], lr: 0.00000e+00, loss: 9.8227e-06
Epoch [1][1280/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][1285/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][1290/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][1295/1780], lr: 0.00000e+00, loss: 6.7471e-06
Epoch [1][1300/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1305/1780], lr: 0.00000e+00, loss: 4.7487e-05
Epoch [1][1310/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][1315/1780], lr: 0.00000e+00, loss: 0.0066033
Epoch [1][1320/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1325/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1330/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][1335/1780], lr: 0.00000e+00, loss: 0.0047157
Epoch [1][1340/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1345/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1350/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][1355/1780], lr: 0.00000e+00, loss: 0.00098081
Epoch [1][1360/1780], lr: 0.00000e+00, loss: 0.3979
Epoch [1][1365/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1370/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][1375/1780], lr: 0.00000e+00, loss: 6.9141e-07
Epoch [1][1380/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][1385/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1390/1780], lr: 0.00000e+00, loss: 1.7118e-05
Epoch [1][1395/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1400/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1405/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1410/1780], lr: 0.00000e+00, loss: 0.00041252
Epoch [1][1415/1780], lr: 0.00000e+00, loss: 0.00090078
Epoch [1][1420/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][1425/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][1430/1780], lr: 0.00000e+00, loss: 0.00030751
Epoch [1][1435/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][1440/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][1445/1780], lr: 0.00000e+00, loss: 0.53338
Epoch [1][1450/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][1455/1780], lr: 0.00000e+00, loss: 0.0
